Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.129-4.208.231.73-63472-443-6,192.168.1.129,63472,4.208.231.73,443,6,13/05/2026 06:12:37 pm,918325,10,19,1549.0,10339.0,728.0,0.0,154.9,248.27021569249902,1440.0,0.0,544.157894736842,620.9225451032872,12945.30803364822,31.57923393134239,32797.321428571435,77115.14932592379,241510.0,0.0,709534.0,78837.11111111111,116786.21315511137,276861.0,125.0,916467.0,50914.83333333333,93787.1564186069,244317.0,0.0,0,0,0,0,200,404,10.88939101080772,20.68984292053467,0.0,1440.0,396.2666666666667,546.1375305716048,298266.2022988506,0,1,0,0,0,0,0,0,1.0,409.9310344827586,154.9,544.1578947368421,0,0,0,0,0,0,10,1549,19,10339,-1,63,6,0,0,0,0,0,0,0,0,0,No Label
192.168.1.129-4.208.231.73-63472-443-6,4.208.231.73,443,192.168.1.129,63472,6,13/05/2026 06:12:38 pm,170091,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.75841167375111,170091.0,0.0,170091.0,170091.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,5.879205836875555,5.879205836875555,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,63,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.129-4.208.231.73-63473-443-6,192.168.1.129,63473,4.208.231.73,443,6,13/05/2026 06:12:38 pm,661872,10,22,1519.0,17554.0,703.0,0.0,151.9,241.90606533207148,1440.0,0.0,797.9090909090909,637.3485186294341,28816.75006647811,48.34771677907511,21350.709677419356,64720.80111638172,229175.0,0.0,452670.0,50296.666666666664,96024.55576049286,229318.0,161.0,657322.0,31301.047619047626,78582.64298906992,234401.0,0.0,0,0,0,0,200,464,15.108661493460971,33.239055285614135,0.0,1440.0,577.9696969696971,619.2424547808639,383461.21780303033,0,1,0,0,0,0,0,0,2.0,596.03125,151.9,797.9090909090909,0,0,0,0,0,0,10,1519,22,17554,-1,63,6,0,0,0,0,0,0,0,0,0,No Label
192.168.1.129-192.178.54.36-62952-443-6,192.168.1.129,62952,192.178.54.36,443,6,13/05/2026 06:12:20 pm,19648370,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.05089480705015225,0.15268442115045675,9824185.0,1.3787446619647091E7,1.9573382E7,74988.0,0,0,0,0,0,74988.0,74988.0,0.0,74988.0,74988.0,0,0,0,0,20,52,0.05089480705015225,0.1017896141003045,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,1047,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.129-192.178.54.164-51954-443-6,192.168.1.129,51954,192.178.54.164,443,6,13/05/2026 06:12:23 pm,16364847,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.06110659024187638,0.18331977072562913,8182423.5,1.1533403040365515E7,1.6337771E7,27076.0,0,0,0,0,0,27076.0,27076.0,0.0,27076.0,27076.0,0,0,0,0,20,52,0.06110659024187638,0.12221318048375276,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,1047,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.129-192.178.54.164-64022-443-6,192.168.1.129,64022,192.178.54.164,443,6,13/05/2026 06:12:23 pm,16365061,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.06110579117303626,0.1833173735191088,8182530.5,1.1533408697219765E7,1.6337882E7,27179.0,0,0,0,0,0,27179.0,27179.0,0.0,27179.0,27179.0,0,0,0,0,20,52,0.06110579117303626,0.12221158234607252,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,1047,0,0,0,0,0,0,0,0,0,0,No Label
142.250.202.132-192.168.1.129-443-50829-6,192.168.1.129,50829,142.250.202.132,443,6,13/05/2026 06:12:20 pm,19206008,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.052067040688517884,0.15620112206555364,9603004.0,1.3165792278753376E7,1.8912625E7,293383.0,0,0,0,0,0,293383.0,293383.0,0.0,293383.0,293383.0,0,0,0,0,20,52,0.052067040688517884,0.10413408137703577,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,1047,0,0,0,0,0,0,0,0,0,0,No Label
142.250.202.132-192.168.1.129-443-49672-6,192.168.1.129,49672,142.250.202.132,443,6,13/05/2026 06:12:20 pm,18955233,2,3,0.0,74.0,0.0,0.0,0.0,0.0,73.0,0.0,24.666666666666668,41.86088070422472,3.903935129681603,0.2637794006541624,4738808.25,8975941.606624989,1.820086E7,50785.0,408344.0,408344.0,0.0,408344.0,408344.0,1.8496104E7,9248052.0,1.2661182494922344E7,1.820086E7,295244.0,0,0,0,0,40,72,0.10551176026166495,0.1582676403924974,0.0,73.0,12.5,29.642874354556106,878.7,0,0,0,0,1,0,0,0,1.0,15.0,0.0,24.666666666666668,0,0,0,0,0,0,2,0,3,74,-1,1047,0,0,295244.0,0.0,295244.0,295244.0,1.820086E7,0.0,1.820086E7,1.820086E7,No Label
192.168.1.129-192.178.54.142-64237-443-6,192.168.1.129,64237,192.178.54.142,443,6,13/05/2026 06:12:22 pm,17620100,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.056753366893490954,0.17026010068047287,8810050.0,1.238757883965071E7,1.7569391E7,50709.0,0,0,0,0,0,50709.0,50709.0,0.0,50709.0,50709.0,0,0,0,0,20,52,0.056753366893490954,0.11350673378698191,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,1047,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.129-192.178.54.142-64237-443-6,192.178.54.142,443,192.168.1.129,64237,6,13/05/2026 06:12:39 pm,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1047,0,0,0,0,0,0,0,0,0,0,No Label
